line,city,special,kind2,cover,blocks_worked,blocks,svc_wd_hit,miss_cell_pct
000855582,青岛市,False,区块大面积没开工,0.336,18,33,0.207,51.7
000856001,温州市,True,特殊·换人/归属待查,0.528,8,10,0.169,32.6
000856514,重庆市,False,区块全开·星期自己定,1.0,4,4,0.516,0.0
000857154,,False,区块全开·星期照做,1.0,5,5,0.875,0.0
000859299,成都市,False,区块全开·星期照做,1.0,5,5,0.922,0.0
000859505,宁波市,True,特殊·换人/归属待查,0.435,6,7,0.193,41.7
000859827,天津市,True,特殊·换人/归属待查,0.865,8,8,0.132,5.6
000859839,无锡市,False,区块全开·星期照做,0.844,2,2,0.848,0.0
000859841,厦门市,False,区块全开·星期照做,0.919,5,5,0.918,6.2
000860516,滨州市,True,特殊·换人/归属待查,0.524,21,29,0.152,27.9
000860562,宁波市,True,特殊·换人/归属待查,0.519,8,8,0.115,31.2
000860828,长沙市,False,区块全开·星期照做,0.956,5,5,0.907,0.0
000862367,上海市,False,区块全开·店和星期都有欠,0.397,6,6,0.257,41.0
000862716,青岛市,False,区块全开·店和星期都有欠,0.558,5,5,0.427,5.3
000863973,秦皇岛市,False,区块全开·星期自己定,0.985,7,7,0.779,0.0
000864355,苏州市,False,区块全开·区块内欠访,0.789,8,8,0.818,17.4
000865348,太原市,False,区块缺了没开,0.528,6,8,0.23,29.6
000865709,广州市,False,区块全开·星期照做,0.941,5,5,0.939,5.3
000865960,广州市,False,区块全开·星期照做,0.891,12,12,0.921,5.4
000866035,贵阳市,False,区块全开·星期照做,1.0,1,1,1.0,0.0
000866096,370800,False,区块缺了没开,0.6,10,12,0.833,19.0
000866110,上海市,False,区块全开·店和星期都有欠,0.36,5,5,0.292,27.8
000866115,西安市,False,区块缺了没开,0.889,5,6,0.698,8.3
000866118,常州市,True,特殊·换人/归属待查,0.364,16,27,0.062,45.0
000866857,沈阳市,True,特殊·换人/归属待查,0.253,7,14,0.037,55.6
000866984,东莞市,False,区块缺了没开,0.807,8,10,0.674,11.1
000867936,江门市,False,区块全开·星期照做,0.877,5,5,0.869,4.2
000874142,惠州市,False,区块全开·店和星期都有欠,0.73,8,8,0.529,5.9
000874284,深圳市,False,区块全开·星期照做,0.883,5,5,0.826,0.0
000874293,厦门市,False,区块缺了没开,0.924,5,6,0.739,0.0
000874295,西安市,False,区块全开·店和星期都有欠,0.714,8,8,0.679,16.7
000874299,北京市,False,区块全开·店和星期都有欠,0.502,5,5,0.445,7.7
000874372,合肥市,False,区块全开·星期自己定,0.643,3,3,0.298,0.0
000874584,佛山市,False,区块全开·店和星期都有欠,0.832,5,5,0.769,0.0
000874807,沈阳市,False,区块缺了没开,0.682,7,9,0.489,17.4
000874881,成都市,False,区块全开·星期照做,0.889,3,3,0.806,0.0
000874956,南京市,True,特殊·换人/归属待查,0.346,9,9,0.111,28.6
000874960,大连市,False,区块全开·店和星期都有欠,0.727,6,6,0.306,13.3
000875125,西安市,False,区块全开·星期照做,0.93,5,5,0.885,0.0
000875131,广州市,False,区块全开·店和星期都有欠,0.811,4,4,0.664,25.0
000875858,邯郸市,False,区块全开·店和星期都有欠,0.49,6,6,0.502,13.3
DS0001426,滨州市,True,特殊·换人/归属待查,0.275,6,15,0.139,63.3
DS0001773,阜阳市,False,区块缺了没开,0.765,6,7,0.556,6.2
DS0001866,宜昌市,False,区块全开·星期自己定,0.777,11,11,0.721,16.7
NP0008185,乐山市,True,特殊·换人/归属待查,1.0,5,5,0.167,0.0
NP0008447,佛山市,False,区块全开·星期自己定,0.964,9,9,0.491,2.4
NP0008452,贵阳市,False,区块全开·星期照做,0.9,5,5,0.892,7.1
NP0008680,天津市,True,特殊·换人/归属待查,0.403,6,7,0.022,5.0
NP0008682,宁波市,True,特殊·换人/归属待查,0.366,6,11,0.175,50.0
NP0008722,南京市,True,特殊·换人/归属待查,0.369,7,7,0.18,51.3
NP0008812,长沙市,False,区块全开·星期照做,1.0,7,7,0.965,0.0
NP0008855,阳江市,False,区块全开·星期照做,1.0,15,15,0.873,0.0
NP0008869,成都市,False,区块缺了没开,0.935,6,7,0.702,8.3
NP0008904,西安市,False,区块全开·星期照做,0.891,8,8,0.905,2.6
NP0008997,佛山市,False,区块全开·星期照做,0.975,6,6,0.926,4.0
NP0009078,大连市,True,特殊·换人/归属待查,0.818,2,3,0.067,16.7
NP0009098,达州市,False,区块全开·星期照做,0.981,5,5,0.912,0.0
NP0009123,宁波市,False,区块缺了没开,0.905,10,13,0.561,16.1
NP0009132,青岛市,False,区块缺了没开,0.556,7,8,0.205,35.3
NP0009135,东莞市,False,区块缺了没开,0.808,6,7,0.7,12.0
NP0009147,南京市,False,区块缺了没开,0.765,14,16,0.686,19.6
NP0009223,金华市,False,区块全开·星期照做,0.954,13,13,0.892,0.0
NP0009295,苏州市,False,区块缺了没开,0.822,34,38,0.782,10.6
NP0009377,唐山市,True,特殊·换人/归属待查,0.418,8,12,0.075,32.0
NP0009432,广州市,False,区块全开·星期自己定,0.897,8,8,0.799,6.2
NP0009462,上海市,False,区块全开·星期照做,0.896,3,3,0.886,12.5
NP0009527,合肥市,False,区块缺了没开,0.975,7,8,0.862,0.0
NP0009568,石家庄市,True,特殊·换人/归属待查,0.51,7,8,0.136,22.2
NP0009581,成都市,False,区块全开·星期照做,1.0,5,5,0.98,0.0
NP0009660,福州市,False,区块全开·星期照做,0.983,5,5,0.986,0.0
NP0009668,杭州市,False,区块全开·店和星期都有欠,0.677,5,5,0.653,7.1
NP0009672,上海市,False,区块缺了没开,0.717,11,13,0.558,22.6
NP0009743,台州市,False,区块全开·店和星期都有欠,0.706,10,11,0.516,12.5
NP0009778,深圳市,False,区块全开·星期照做,0.929,7,7,0.895,4.2
NP0009832,三亚市,False,区块全开·星期照做,0.956,5,5,0.963,0.0
NP0009925,广州市,False,区块全开·星期照做,0.964,5,5,0.943,0.0
NP0009959,大同市,False,区块全开·店和星期都有欠,0.469,5,5,0.411,14.3
NP0010006,邯郸市,False,区块缺了没开,0.574,7,8,0.4,27.3
NP0010020,北京市,False,区块全开·店和星期都有欠,0.727,5,5,0.709,17.4
