line,city,kind,plan_cells,act_cells,miss_cells,miss_cell_pct,blocks,blocks_worked,block_exec_median,svc_wd_hit,cover,sameday,plan_stores,never
NP0010323,曲靖市,区块全开·星期照做,12,12,0,0.0,10,10,1.0,0.973,1.0,1.0,145,0
NP0010380,泰州市,计划与实际几乎不相交,14,9,5,35.7,7,5,0.212,0.195,0.283,0.266,244,175
NP0010444,深圳市,区块全开·区块内欠访,12,12,0,0.0,5,5,0.848,0.817,0.833,0.846,252,42
NP0010481,无锡市,区块全开·星期照做,41,39,2,4.9,12,12,0.987,0.878,0.898,0.856,196,20
NP0010485,德州市,计划与实际几乎不相交,14,3,11,78.6,3,2,0.083,0.111,0.139,0.111,36,31
NP0010486,德州市,区块大面积没开工,14,5,9,64.3,5,2,0.0,0.067,0.333,0.0,36,24
NP0010498,广州市,区块全开·星期照做,26,26,0,0.0,8,8,1.0,0.994,0.995,0.996,221,1
NP0010660,武汉市,区块全开·星期照做,32,31,1,3.1,9,9,1.0,0.913,0.893,0.901,197,21
NP0010665,武汉市,区块全开·星期照做,18,17,1,5.6,5,5,0.935,0.893,0.931,0.937,203,14
NP0010670,佛山市,区块全开·星期照做,13,13,0,0.0,5,5,0.872,0.843,0.899,0.904,227,23
NP0010674,常州市,区块全开·店和星期都有欠,28,22,6,21.4,6,6,0.688,0.565,0.715,0.584,172,49
NP0010683,昆明市,区块缺了没开,19,15,4,21.1,6,5,0.803,0.299,0.832,0.832,107,18
NP0010688,成都市,区块全开·星期照做,10,10,0,0.0,9,9,1.0,0.978,1.0,1.0,23,0
NP0010748,商丘市,区块全开·星期自己定,21,19,2,9.5,12,12,1.0,0.712,0.898,0.901,128,13
NP0010807,清远市,区块全开·星期照做,33,33,0,0.0,10,10,1.0,0.997,1.0,1.0,191,0
NP0010842,兰州市,区块全开·星期照做,6,6,0,0.0,5,5,1.0,0.933,1.0,1.0,17,0
NP0010891,无锡市,区块全开·店和星期都有欠,28,27,1,3.6,5,5,0.778,0.65,0.689,0.656,167,52
NP0010900,青岛市,区块全开·店和星期都有欠,19,17,2,10.5,6,6,0.594,0.528,0.564,0.541,266,116
NP0010920,曲靖市,区块全开·星期自己定,9,9,0,0.0,9,9,1.0,0.754,1.0,1.0,69,0
NP0010987,滨州市,计划与实际几乎不相交,18,9,9,50.0,6,6,0.283,0.136,0.277,0.108,83,60
NP0010989,秦皇岛市,区块大面积没开工,19,10,9,47.4,14,6,0.0,0.094,0.344,0.172,93,61
NP0010995,合肥市,区块全开·店和星期都有欠,9,8,1,11.1,4,4,0.572,0.264,0.467,0.283,45,24
NP0011002,西安市,区块全开·店和星期都有欠,16,15,1,6.2,5,5,0.5,0.23,0.457,0.168,105,57
NP0011031,眉山市,区块全开·星期照做,23,23,0,0.0,12,12,1.0,0.937,1.0,0.993,126,0
NP0011048,台州市,区块缺了没开,34,23,11,32.4,18,14,0.565,0.473,0.706,0.645,245,72
NP0011053,台州市,区块全开·店和星期都有欠,41,34,7,17.1,15,14,0.667,0.549,0.574,0.349,169,72
NP0011086,北京市,计划与实际几乎不相交,34,24,10,29.4,5,5,0.288,0.22,0.291,0.228,268,190
NP0011095,武汉市,区块全开·店和星期都有欠,19,19,0,0.0,8,8,0.794,0.647,0.757,0.735,136,33
NP0011110,西安市,区块全开·星期自己定,37,34,3,8.1,10,9,0.988,0.777,0.939,0.939,196,12
NP0011136,玉林市,区块缺了没开,30,28,2,6.7,12,10,1.0,0.727,0.92,0.889,212,17
NP0011145,泰安市,计划与实际几乎不相交,37,17,20,54.1,15,10,0.083,0.021,0.179,0.03,235,193
NP0011152,杭州市,区块缺了没开,42,24,18,42.9,8,7,0.476,0.343,0.479,0.391,194,101
NP0011171,深圳市,区块全开·店和星期都有欠,20,20,0,0.0,6,6,0.675,0.664,0.663,0.697,181,61
NP0011193,芜湖市,区块缺了没开,18,14,4,22.2,9,6,0.694,0.525,0.57,0.551,235,101
NP0011290,德州市,区块大面积没开工,18,6,12,66.7,7,4,0.083,0.024,0.556,0.0,36,16
NP0011299,合肥市,计划与实际几乎不相交,7,0,7,100.0,4,0,0.0,0.0,0.0,0.0,65,65
NP0011348,南宁市,区块全开·星期照做,34,32,2,5.9,9,9,0.957,0.901,0.874,0.883,231,29
NP0011350,北京市,区块全开·店和星期都有欠,25,15,10,40.0,5,5,0.291,0.246,0.34,0.234,265,175
NP0011376,成都市,区块全开·星期自己定,8,8,0,0.0,5,5,1.0,0.793,0.923,0.923,13,1
NP0011405,北京市,计划与实际几乎不相交,29,12,17,58.6,5,4,0.169,0.049,0.151,0.007,284,241
NP0011431,北京市,计划与实际几乎不相交,25,14,11,44.0,6,5,0.158,0.08,0.168,0.073,214,178
NP0011436,东莞市,区块全开·区块内欠访,32,30,2,6.2,6,6,0.828,0.83,0.806,0.812,252,49
NP0011437,西宁市,区块全开·星期照做,11,11,0,0.0,6,6,1.0,0.99,0.987,0.988,156,2
NP0011469,宝鸡市,区块全开·星期自己定,15,15,0,0.0,10,9,0.867,0.594,0.826,0.491,161,28
NP0011478,苏州市,区块缺了没开,29,14,15,51.7,8,6,0.333,0.222,0.305,0.26,154,107
NP0011525,肇庆市,区块全开·星期自己定,48,42,6,12.5,18,17,0.873,0.752,0.826,0.84,172,30
NP0011547,厦门市,区块全开·店和星期都有欠,14,13,1,7.1,7,7,0.833,0.571,0.879,0.754,107,13
NP0011578,曲靖市,区块全开·星期自己定,8,8,0,0.0,4,4,1.0,0.25,1.0,1.0,21,0
NP0011681,北京市,计划与实际几乎不相交,13,4,9,69.2,5,4,0.2,0.046,0.181,0.038,155,127
NP0011736,北京市,计划与实际几乎不相交,25,10,15,60.0,8,6,0.119,0.112,0.25,0.13,104,78
NP0011803,北京市,计划与实际几乎不相交,12,5,7,58.3,6,5,0.104,0.06,0.152,0.023,132,112
NP0011810,宁波市,计划与实际几乎不相交,19,7,12,63.2,7,5,0.083,0.089,0.151,0.118,119,101
NP0011816,重庆市,区块全开·星期自己定,6,6,0,0.0,5,5,0.857,0.755,0.824,0.855,108,19
NP0011874,佛山市,区块全开·店和星期都有欠,11,10,1,9.1,6,6,0.541,0.607,0.623,0.623,61,23
NP0011994,佛山市,区块全开·店和星期都有欠,6,6,0,0.0,2,2,0.75,0.75,0.75,0.75,24,6
NP0011998,杭州市,区块缺了没开,13,12,1,7.7,6,5,1.0,0.82,0.986,0.986,72,1
NP0012033,南京市,计划与实际几乎不相交,5,2,3,60.0,2,1,0.188,0.188,0.25,0.25,12,9
NP8800017,泉州市,区块全开·星期照做,13,13,0,0.0,5,5,0.983,0.92,0.935,0.93,214,14
NP8800018,泉州市,区块全开·星期照做,24,22,2,8.3,8,8,1.0,0.922,0.913,0.9,230,20
NP8800045,昆明市,区块全开·星期照做,9,9,0,0.0,5,5,1.0,0.812,0.95,0.95,119,6
NP8800052,佛山市,区块全开·星期自己定,18,18,0,0.0,7,7,1.0,0.627,0.965,0.967,141,5
NP8800054,湛江市,区块全开·星期照做,38,38,0,0.0,12,12,1.0,0.972,1.0,1.0,206,0
NP8800075,郑州市,区块全开·店和星期都有欠,28,23,5,17.9,6,6,0.829,0.694,0.79,0.765,162,34
NP8800079,武汉市,区块全开·星期照做,29,28,1,3.4,6,6,0.923,0.846,0.918,0.925,196,16
NP8800110,上海市,区块缺了没开,26,23,3,11.5,8,6,0.416,0.342,0.447,0.317,246,136
NP8800114,无锡市,区块缺了没开,25,21,4,16.0,6,5,0.7,0.513,0.707,0.614,208,61
NP8800119,惠州市,区块缺了没开,19,18,1,5.3,7,6,0.897,0.766,0.894,0.896,216,23
NP8800166,西宁市,区块全开·星期照做,8,8,0,0.0,6,6,1.0,0.938,0.937,0.937,63,4
NP8800190,嘉兴市,区块全开·星期照做,16,16,0,0.0,7,7,1.0,0.852,0.964,0.911,56,2
NP8800197,襄阳市,区块缺了没开,21,15,6,28.6,9,7,0.556,0.286,0.667,0.294,219,73
NP8800212,洛阳市,区块全开·星期自己定,16,11,5,31.2,6,6,0.932,0.513,0.768,0.599,185,43
NP8800236,商丘市,区块缺了没开,22,19,3,13.6,12,10,0.697,0.176,0.677,0.272,124,40
NP8800246,衡阳市,区块全开·星期照做,14,14,0,0.0,5,5,1.0,0.975,0.991,0.987,212,2
NP8800253,天津市,区块缺了没开,39,27,12,30.8,10,8,0.512,0.039,0.5,0.027,162,81
NP8800254,宝鸡市,区块缺了没开,11,9,2,18.2,6,5,0.791,0.57,0.8,0.6,45,9
NP8800295,芜湖市,区块全开·店和星期都有欠,14,14,0,0.0,5,5,0.741,0.754,0.765,0.761,234,55
NP8800323,370800,区块全开·店和星期都有欠,19,10,9,47.4,6,6,0.458,0.375,0.533,0.467,60,28
NP8800351,安阳市,区块全开·星期自己定,25,21,4,16.0,11,10,1.0,0.775,0.793,0.789,213,44
NP8800357,广州市,区块全开·星期照做,27,25,2,7.4,13,12,1.0,0.859,0.899,0.905,149,15
NP8800371,潍坊市,区块全开·店和星期都有欠,36,28,8,22.2,10,10,0.453,0.018,0.406,0.01,180,107
NP8800391,广州市,区块全开·星期照做,10,10,0,0.0,5,5,0.923,0.912,0.885,0.889,78,9
NP8800398,眉山市,计划与实际几乎不相交,18,2,16,88.9,9,1,0.0,0.037,0.068,0.0,59,55
NP8800409,徐州市,区块全开·店和星期都有欠,29,28,1,3.4,12,12,0.834,0.551,0.778,0.68,225,50
NP8800414,菏泽市,区块全开·星期照做,16,15,1,6.2,7,7,0.917,0.855,0.883,0.867,60,7
NP8800415,330500,计划与实际几乎不相交,7,3,4,57.1,2,2,0.209,0.167,0.208,0.167,24,19
NP8800420,南阳市,区块大面积没开工,28,13,15,53.6,11,6,0.25,0.175,0.448,0.342,67,37
NP8800426,盐城市,区块缺了没开,42,21,21,50.0,14,10,0.453,0.395,0.415,0.379,241,141
NP8800445,赤峰市,区块缺了没开,29,21,8,27.6,19,16,0.545,0.277,0.592,0.335,233,95
NP8800446,中山市,区块全开·星期照做,32,31,1,3.1,9,9,1.0,0.968,0.983,0.985,174,3
NP8800449,长春市,区块缺了没开,19,18,1,5.3,8,7,0.814,0.696,0.733,0.716,217,58
NP8800460,清远市,区块全开·星期照做,24,24,0,0.0,16,16,1.0,0.835,1.0,1.0,119,0
NP8800465,哈尔滨市,区块全开·店和星期都有欠,22,17,5,22.7,6,6,0.673,0.477,0.635,0.544,266,97
NP8800476,莆田市,区块全开·星期照做,34,34,0,0.0,15,15,1.0,1.0,1.0,1.0,207,0
NP8800477,乐山市,区块全开·星期自己定,3,3,0,0.0,2,2,1.0,0.416,1.0,1.0,7,0
NP8800480,漳州市,区块全开·星期照做,20,15,5,25.0,10,9,1.0,0.834,0.901,0.789,142,14
NP8800481,南充市,区块全开·星期照做,14,14,0,0.0,5,5,0.917,0.908,0.921,0.879,189,15
NP8800491,呼和浩特市,区块缺了没开,13,12,1,7.7,6,5,0.922,0.74,0.877,0.861,227,28
NP8800493,菏泽市,区块缺了没开,52,38,14,26.9,25,18,0.882,0.49,0.72,0.61,236,66
NP8800497,阳江市,区块全开·星期自己定,24,23,1,4.2,12,11,1.0,0.594,0.967,0.968,153,5
NP8800502,吉林市,区块全开·店和星期都有欠,23,19,4,17.4,16,16,0.659,0.151,0.601,0.05,233,93
NP8800525,襄阳市,区块缺了没开,12,11,1,8.3,8,7,1.0,0.718,0.85,0.771,234,35
NP8800534,重庆市,区块全开·星期照做,12,12,0,0.0,7,7,1.0,0.972,0.984,0.984,63,1
NP8800550,大连市,区块全开·星期自己定,6,5,1,16.7,4,4,1.0,0.192,0.824,0.833,17,3
NP8800557,兰州市,区块全开·星期照做,7,5,2,28.6,4,4,0.9,0.804,0.842,0.846,38,6
NP8800567,无锡市,区块全开·星期照做,53,46,7,13.2,19,18,0.909,0.81,0.842,0.81,190,30
