line,city,districts,plan_stores,plan_rows,act_visits,act_stores,cover,purity,wd_match,sameday,phase,qty,n_never,blocks,block_sizes,blocks_worked,block_worked_rate,block_exec_median,block_exec_min,block_wd_rate,cold_blocks,east_km,north_km,nn_median_m,workdays,daily_median,daily_avg,wd_visits,day_radius_km,zones_per_day,freq_1,freq_2p,kind,story
000862716,青岛市,"市北区×247, 崂山区×26",233,275,308,265,0.558,0.491,0.425,0.367,0.485,1.12,103,1,[233],1,1.0,0.558,0.558,1.0,区块×233店 仅执行 56%,12.0,8.1,53.0,23,7,13.4,"[77, 60, 49, 52, 49, 16, 5]",2.57,1.0,227,38,区块全开·区块内欠访,"青岛市（市北区×247, 崂山区×26）：计划 233 店 / 275 次，分成 1 个区块（最大区块 233 店）。 地盘东西 12.0 × 南北 8.1 km；区块内店距中位 53 m。 节奏：23 个工作日、平均每天 13.4 家店、一天 1.0 个区块、当天作业半径中位 2.57 km；出勤 周一77/周二60/周三49/周四52/周五49/周六16/周日5。 ① 区块开工：1 块里他开工了 1 块；② 区块内执行率中位 56%（最弱一块 56%）；③ 区块星期一致 100%。 参考：覆盖 56%、同日 37%、相位 48%、量比 1.12。 结论：区块都开了、星期也守，但**区块内没做全**（存在欠访）。 最冷的区块（计划内执行率最低）：区块×233店 仅执行 56%。"
000863973,秦皇岛市,"海港区×47, 北戴河区×12",67,67,216,165,0.985,0.4,0.985,0.985,0.985,3.22,1,4,"[47, 12, 7, 1]",4,1.0,1.0,0.979,1.0,,64.2,26.9,227.0,14,7,15.4,"[48, 34, 34, 32, 33, 35, 0]",1.83,1.0,117,48,区块全开·星期照做,"秦皇岛市（海港区×47, 北戴河区×12）：计划 67 店 / 67 次，分成 4 个区块（最大区块 47 店）。 地盘东西 64.2 × 南北 26.9 km；区块内店距中位 227 m。 节奏：14 个工作日、平均每天 15.4 家店、一天 1.0 个区块、当天作业半径中位 1.83 km；出勤 周一48/周二34/周三34/周四32/周五33/周六35；周日 没跑。 ① 区块开工：4 块里他开工了 4 块；② 区块内执行率中位 100%（最弱一块 98%）；③ 区块星期一致 100%。 参考：覆盖 98%、同日 98%、相位 98%、量比 3.22。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。"
000864355,苏州市,"吴中区×209, 姑苏区×52",265,287,280,238,0.789,0.878,0.77,0.756,0.762,0.98,56,2,"[264, 1]",2,1.0,0.894,0.788,1.0,,23.1,15.5,46.0,22,12,12.7,"[67, 56, 54, 42, 32, 5, 24]",4.79,1.0,207,31,区块全开·星期照做,"苏州市（吴中区×209, 姑苏区×52）：计划 265 店 / 287 次，分成 2 个区块（最大区块 264 店）。 地盘东西 23.1 × 南北 15.5 km；区块内店距中位 46 m。 节奏：22 个工作日、平均每天 12.7 家店、一天 1.0 个区块、当天作业半径中位 4.79 km；出勤 周一67/周二56/周三54/周四42/周五32/周六5/周日24。 ① 区块开工：2 块里他开工了 2 块；② 区块内执行率中位 89%（最弱一块 79%）；③ 区块星期一致 100%。 参考：覆盖 79%、同日 76%、相位 76%、量比 0.98。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。"
000865348,太原市,小店区×272,252,272,221,200,0.528,0.665,0.373,0.316,0.421,0.81,119,4,"[241, 8, 2, 1]",2,0.5,0.25,0.0,0.5,区块×8店 仅执行 50%; 区块×241店 仅执行 54%,10.1,19.6,84.0,18,8,12.3,"[63, 53, 49, 25, 31, 0, 0]",3.48,1.0,182,18,区块大面积没开工,太原市（小店区×272）：计划 252 店 / 272 次，分成 4 个区块（最大区块 241 店）。 地盘东西 10.1 × 南北 19.6 km；区块内店距中位 84 m。 节奏：18 个工作日、平均每天 12.3 家店、一天 1.0 个区块、当天作业半径中位 3.48 km；出勤 周一63/周二53/周三49/周四25/周五31；周六、周日 没跑。 ① 区块开工：4 块里他开工了 2 块；② 区块内执行率中位 25%（最弱一块 0%）；③ 区块星期一致 50%。 参考：覆盖 53%、同日 32%、相位 42%、量比 0.81。 结论：**有区块整块没开工**（2 块），先问为什么不去，而不是谈执行率。 最冷的区块（计划内执行率最低）：区块×8店 仅执行 50%; 区块×241店 仅执行 54%。
000865709,广州市,"天河区×263, 白云区×1",237,265,273,239,0.941,0.933,0.941,0.947,0.941,1.03,14,1,[237],1,1.0,0.941,0.941,1.0,,9.7,9.2,87.0,21,12,13.0,"[64, 53, 53, 52, 51, 0, 0]",2.16,1.0,208,31,区块全开·星期照做,"广州市（天河区×263, 白云区×1）：计划 237 店 / 265 次，分成 1 个区块（最大区块 237 店）。 地盘东西 9.7 × 南北 9.2 km；区块内店距中位 87 m。 节奏：21 个工作日、平均每天 13.0 家店、一天 1.0 个区块、当天作业半径中位 2.16 km；出勤 周一64/周二53/周三53/周四52/周五51；周六、周日 没跑。 ① 区块开工：1 块里他开工了 1 块；② 区块内执行率中位 94%（最弱一块 94%）；③ 区块星期一致 100%。 参考：覆盖 94%、同日 95%、相位 94%、量比 1.03。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。"
000865960,广州市,番禺区×175,175,175,271,245,0.891,0.637,0.891,0.891,0.891,1.55,19,3,"[96, 78, 1]",3,1.0,0.91,0.875,1.0,,27.5,16.7,84.0,17,12,15.9,"[70, 48, 49, 52, 52, 0, 0]",2.47,1.0,222,23,区块全开·星期照做,广州市（番禺区×175）：计划 175 店 / 175 次，分成 3 个区块（最大区块 96 店）。 地盘东西 27.5 × 南北 16.7 km；区块内店距中位 84 m。 节奏：17 个工作日、平均每天 15.9 家店、一天 1.0 个区块、当天作业半径中位 2.47 km；出勤 周一70/周二48/周三49/周四52/周五52；周六、周日 没跑。 ① 区块开工：3 块里他开工了 3 块；② 区块内执行率中位 91%（最弱一块 88%）；③ 区块星期一致 100%。 参考：覆盖 89%、同日 89%、相位 89%、量比 1.55。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。
000866035,贵阳市,南明区×11,11,11,267,221,1.0,0.05,1.0,1.0,1.0,24.27,0,1,[11],1,1.0,1.0,1.0,1.0,,0.2,0.2,23.0,2,6,133.5,"[59, 49, 50, 48, 49, 12, 0]",0.11,1.0,181,40,区块全开·星期照做,贵阳市（南明区×11）：计划 11 店 / 11 次，分成 1 个区块（最大区块 11 店）。 地盘东西 0.2 × 南北 0.2 km；区块内店距中位 23 m。 节奏：2 个工作日、平均每天 133.5 家店、一天 1.0 个区块、当天作业半径中位 0.11 km；出勤 周一59/周二49/周三50/周四48/周五49/周六12；周日 没跑。 ① 区块开工：1 块里他开工了 1 块；② 区块内执行率中位 100%（最弱一块 100%）；③ 区块星期一致 100%。 参考：覆盖 100%、同日 100%、相位 100%、量比 24.27。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。
000866096,370800,"370811×53, 370828×5",60,60,176,169,0.6,0.213,0.6,0.6,0.6,2.93,24,9,"[36, 10, 4, 3, 2]",9,1.0,1.0,0.333,0.889,区块×36店 仅执行 33%,33.6,47.2,138.0,3,12,58.7,"[45, 18, 36, 48, 29, 0, 0]",7.32,3.0,162,7,区块全开·星期照做,"370800（370811×53, 370828×5）：计划 60 店 / 60 次，分成 9 个区块（最大区块 36 店）。 地盘东西 33.6 × 南北 47.2 km；区块内店距中位 138 m。 节奏：3 个工作日、平均每天 58.7 家店、一天 3.0 个区块、当天作业半径中位 7.32 km；出勤 周一45/周二18/周三36/周四48/周五29；周六、周日 没跑。 ① 区块开工：9 块里他开工了 9 块；② 区块内执行率中位 100%（最弱一块 33%）；③ 区块星期一致 89%。 参考：覆盖 60%、同日 60%、相位 60%、量比 2.93。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。 最冷的区块（计划内执行率最低）：区块×36店 仅执行 33%。"
000866110,上海市,静安区×269,253,269,148,133,0.36,0.684,0.32,0.297,0.324,0.55,162,1,[253],1,1.0,0.36,0.36,1.0,区块×253店 仅执行 36%,5.8,11.3,43.0,15,6,9.9,"[43, 17, 27, 38, 19, 4, 0]",1.52,1.0,118,15,区块全开·区块内欠访,上海市（静安区×269）：计划 253 店 / 269 次，分成 1 个区块（最大区块 253 店）。 地盘东西 5.8 × 南北 11.3 km；区块内店距中位 43 m。 节奏：15 个工作日、平均每天 9.9 家店、一天 1.0 个区块、当天作业半径中位 1.52 km；出勤 周一43/周二17/周三27/周四38/周五19/周六4；周日 没跑。 ① 区块开工：1 块里他开工了 1 块；② 区块内执行率中位 36%（最弱一块 36%）；③ 区块星期一致 100%。 参考：覆盖 36%、同日 30%、相位 32%、量比 0.55。 结论：区块都开了、星期也守，但**区块内没做全**（存在欠访）。 最冷的区块（计划内执行率最低）：区块×253店 仅执行 36%。
000866115,西安市,"雁塔区×250, 新城区×1",234,252,364,330,0.889,0.63,0.885,0.853,0.88,1.44,26,2,"[233, 1]",1,0.5,0.446,0.0,1.0,,13.0,7.8,31.0,20,12,18.2,"[120, 74, 65, 56, 49, 0, 0]",1.73,1.0,298,32,区块大面积没开工,"西安市（雁塔区×250, 新城区×1）：计划 234 店 / 252 次，分成 2 个区块（最大区块 233 店）。 地盘东西 13.0 × 南北 7.8 km；区块内店距中位 31 m。 节奏：20 个工作日、平均每天 18.2 家店、一天 1.0 个区块、当天作业半径中位 1.73 km；出勤 周一120/周二74/周三65/周四56/周五49；周六、周日 没跑。 ① 区块开工：2 块里他开工了 1 块；② 区块内执行率中位 45%（最弱一块 0%）；③ 区块星期一致 100%。 参考：覆盖 89%、同日 85%、相位 88%、量比 1.44。 结论：**有区块整块没开工**（1 块），先问为什么不去，而不是谈执行率。"
000866118,常州市,"溧阳市×151, 金坛区×98",225,249,199,175,0.364,0.469,0.14,0.112,0.262,0.8,143,16,"[91, 63, 16, 12, 9]",9,0.562,0.131,0.0,0.444,区块×16店 仅执行 6%; 区块×5店 仅执行 20%; 区块×9店 仅执行 22%,39.9,71.4,152.0,20,4,9.9,"[45, 55, 33, 30, 35, 0, 1]",4.12,1.0,152,23,区块大面积没开工,"常州市（溧阳市×151, 金坛区×98）：计划 225 店 / 249 次，分成 16 个区块（最大区块 91 店）。 地盘东西 39.9 × 南北 71.4 km；区块内店距中位 152 m。 节奏：20 个工作日、平均每天 9.9 家店、一天 1.0 个区块、当天作业半径中位 4.12 km；出勤 周一45/周二55/周三33/周四30/周五35/周日1；周六 没跑。 ① 区块开工：16 块里他开工了 9 块；② 区块内执行率中位 13%（最弱一块 0%）；③ 区块星期一致 44%。 参考：覆盖 36%、同日 11%、相位 26%、量比 0.8。 结论：**有区块整块没开工**（7 块），先问为什么不去，而不是谈执行率。 最冷的区块（计划内执行率最低）：区块×16店 仅执行 6%; 区块×5店 仅执行 20%; 区块×9店 仅执行 22%。"
000866857,沈阳市,"浑南区×194, 和平区×10",158,210,165,124,0.253,0.323,0.142,0.095,0.152,0.79,118,5,"[149, 4, 3, 1, 1]",1,0.2,0.0,0.0,1.0,区块×149店 仅执行 27%,17.1,15.6,74.0,14,3,11.8,"[38, 35, 36, 25, 31, 0, 0]",0.76,1.0,86,38,计划与实际几乎不相交,"沈阳市（浑南区×194, 和平区×10）：计划 158 店 / 210 次，分成 5 个区块（最大区块 149 店）。 地盘东西 17.1 × 南北 15.6 km；区块内店距中位 74 m。 节奏：14 个工作日、平均每天 11.8 家店、一天 1.0 个区块、当天作业半径中位 0.76 km；出勤 周一38/周二35/周三36/周四25/周五31；周六、周日 没跑。 ① 区块开工：5 块里他开工了 1 块；② 区块内执行率中位 0%（最弱一块 0%）；③ 区块星期一致 100%。 参考：覆盖 25%、同日 10%、相位 15%、量比 0.79。 结论：计划与实际几乎不相交——先查这块地盘是不是搞错了（管辖/门店清单），再谈行为。 最冷的区块（计划内执行率最低）：区块×149店 仅执行 27%。"
000866984,东莞市,东莞市×203,192,203,237,218,0.807,0.711,0.807,0.803,0.807,1.17,37,5,"[116, 73, 1, 1, 1]",4,0.8,0.81,0.0,1.0,,21.2,21.1,80.0,18,9,13.2,"[63, 56, 44, 38, 36, 0, 0]",1.86,1.0,202,16,区块缺了没开,东莞市（东莞市×203）：计划 192 店 / 203 次，分成 5 个区块（最大区块 116 店）。 地盘东西 21.2 × 南北 21.1 km；区块内店距中位 80 m。 节奏：18 个工作日、平均每天 13.2 家店、一天 1.0 个区块、当天作业半径中位 1.86 km；出勤 周一63/周二56/周三44/周四38/周五36；周六、周日 没跑。 ① 区块开工：5 块里他开工了 4 块；② 区块内执行率中位 81%（最弱一块 0%）；③ 区块星期一致 100%。 参考：覆盖 81%、同日 80%、相位 81%、量比 1.17。 结论：**有 1 个区块整块没开工**，但他开的那几块做得很好（执行率与星期都守）——先问为什么不去那几块。
000867936,江门市,"蓬江区×230, 江海区×2",219,232,252,223,0.877,0.861,0.868,0.871,0.872,1.09,27,1,[219],1,1.0,0.877,0.877,1.0,,10.7,11.4,81.0,21,11,12.0,"[55, 49, 48, 50, 50, 0, 0]",2.61,1.0,196,27,区块全开·星期照做,"江门市（蓬江区×230, 江海区×2）：计划 219 店 / 232 次，分成 1 个区块（最大区块 219 店）。 地盘东西 10.7 × 南北 11.4 km；区块内店距中位 81 m。 节奏：21 个工作日、平均每天 12.0 家店、一天 1.0 个区块、当天作业半径中位 2.61 km；出勤 周一55/周二49/周三48/周四50/周五50；周六、周日 没跑。 ① 区块开工：1 块里他开工了 1 块；② 区块内执行率中位 88%（最弱一块 88%）；③ 区块星期一致 100%。 参考：覆盖 88%、同日 87%、相位 87%、量比 1.09。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。"
000874142,惠州市,惠城区×65,63,65,247,189,0.73,0.243,0.734,0.738,0.73,3.8,17,3,"[28, 19, 16]",3,1.0,0.75,0.632,1.0,,11.1,12.9,179.0,15,5,16.5,"[61, 46, 48, 43, 49, 0, 0]",2.89,1.0,142,47,区块全开·区块内欠访,惠州市（惠城区×65）：计划 63 店 / 65 次，分成 3 个区块（最大区块 28 店）。 地盘东西 11.1 × 南北 12.9 km；区块内店距中位 179 m。 节奏：15 个工作日、平均每天 16.5 家店、一天 1.0 个区块、当天作业半径中位 2.89 km；出勤 周一61/周二46/周三48/周四43/周五49；周六、周日 没跑。 ① 区块开工：3 块里他开工了 3 块；② 区块内执行率中位 75%（最弱一块 63%）；③ 区块星期一致 100%。 参考：覆盖 73%、同日 74%、相位 73%、量比 3.8。 结论：区块都开了、星期也守，但**区块内没做全**（存在欠访）。
000874284,深圳市,南山区×266,265,266,307,265,0.883,0.883,0.883,0.883,0.883,1.15,31,1,[265],1,1.0,0.883,0.883,1.0,,5.7,8.0,66.0,22,12,14.0,"[73, 57, 54, 57, 52, 14, 0]",1.46,1.0,223,42,区块全开·星期照做,深圳市（南山区×266）：计划 265 店 / 266 次，分成 1 个区块（最大区块 265 店）。 地盘东西 5.7 × 南北 8.0 km；区块内店距中位 66 m。 节奏：22 个工作日、平均每天 14.0 家店、一天 1.0 个区块、当天作业半径中位 1.46 km；出勤 周一73/周二57/周三54/周四57/周五52/周六14；周日 没跑。 ① 区块开工：1 块里他开工了 1 块；② 区块内执行率中位 88%（最弱一块 88%）；③ 区块星期一致 100%。 参考：覆盖 88%、同日 88%、相位 88%、量比 1.15。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。
000874293,厦门市,"集美区×121, 思明区×3",105,125,229,127,0.924,0.764,0.926,0.936,0.924,1.83,8,1,[105],1,1.0,0.924,0.924,1.0,,6.3,4.6,56.0,20,9,11.4,"[57, 48, 43, 34, 47, 0, 0]",1.23,1.0,61,66,区块全开·星期照做,"厦门市（集美区×121, 思明区×3）：计划 105 店 / 125 次，分成 1 个区块（最大区块 105 店）。 地盘东西 6.3 × 南北 4.6 km；区块内店距中位 56 m。 节奏：20 个工作日、平均每天 11.4 家店、一天 1.0 个区块、当天作业半径中位 1.23 km；出勤 周一57/周二48/周三43/周四34/周五47；周六、周日 没跑。 ① 区块开工：1 块里他开工了 1 块；② 区块内执行率中位 92%（最弱一块 92%）；③ 区块星期一致 100%。 参考：覆盖 92%、同日 94%、相位 92%、量比 1.83。 结论：**计划怎么划他就怎么做**——区块全开工、区块内做全、星期按计划。"
000874295,西安市,"长安区×122, 临潼区×121",262,269,316,244,0.714,0.766,0.702,0.699,0.698,1.17,75,5,"[116, 112, 17, 14, 3]",5,1.0,0.714,0.647,1.0,,49.9,46.6,82.0,19,12,16.6,"[69, 61, 64, 65, 57, 0, 0]",2.58,1.0,186,58,区块全开·区块内欠访,"西安市（长安区×122, 临潼区×121）：计划 262 店 / 269 次，分成 5 个区块（最大区块 116 店）。 地盘东西 49.9 × 南北 46.6 km；区块内店距中位 82 m。 节奏：19 个工作日、平均每天 16.6 家店、一天 1.0 个区块、当天作业半径中位 2.58 km；出勤 周一69/周二61/周三64/周四65/周五57；周六、周日 没跑。 ① 区块开工：5 块里他开工了 5 块；② 区块内执行率中位 71%（最弱一块 65%）；③ 区块星期一致 100%。 参考：覆盖 71%、同日 70%、相位 70%、量比 1.17。 结论：区块都开了、星期也守，但**区块内没做全**（存在欠访）。"
000874299,北京市,"朝阳区×247, 东城区×18",241,265,187,182,0.502,0.665,0.448,0.389,0.461,0.71,120,1,[241],1,1.0,0.502,0.502,1.0,区块×241店 仅执行 50%,6.3,5.9,66.0,20,7,9.3,"[51, 40, 38, 37, 21, 0, 0]",0.91,1.0,177,5,区块全开·区块内欠访,"北京市（朝阳区×247, 东城区×18）：计划 241 店 / 265 次，分成 1 个区块（最大区块 241 店）。 地盘东西 6.3 × 南北 5.9 km；区块内店距中位 66 m。 节奏：20 个工作日、平均每天 9.3 家店、一天 1.0 个区块、当天作业半径中位 0.91 km；出勤 周一51/周二40/周三38/周四37/周五21；周六、周日 没跑。 ① 区块开工：1 块里他开工了 1 块；② 区块内执行率中位 50%（最弱一块 50%）；③ 区块星期一致 100%。 参考：覆盖 50%、同日 39%、相位 46%、量比 0.71。 结论：区块都开了、星期也守，但**区块内没做全**（存在欠访）。 最冷的区块（计划内执行率最低）：区块×241店 仅执行 50%。"
