line,stores,changed,base_hit,new_hit,cap_L1_old,cap_L1_new,blocks_old,blocks_new,cv_old,cv_new,compact_old,compact_new
NP9903722,112,1,1.0,0.991,0.095,0.112,6,6,0.365,0.368,0.32,0.312
NP9903730,120,1,0.983,0.975,0.109,0.109,6,7,0.437,0.613,0.508,0.54
NP9903735,20,23,1.0,1.0,1.179,0.679,4,4,0.17,0.17,0.576,0.576
NP9903739,118,18,0.754,0.729,0.137,0.204,8,11,0.581,0.89,0.453,0.523
NP9903741,60,0,1.0,1.0,0.039,0.039,5,5,0.033,0.033,0.411,0.411
NP9903744,118,0,1.0,1.0,0.17,0.17,11,11,0.585,0.585,0.556,0.556
NP9903750,132,1,1.0,0.992,0.045,0.053,5,5,0.137,0.141,0.416,0.412
NP9903755,117,16,1.0,0.957,0.093,0.029,7,9,0.397,0.583,0.278,0.299
NP9903756,48,6,0.229,0.229,0.296,0.227,21,23,0.849,0.898,0.439,0.461
NP9903760,122,8,0.877,0.836,0.123,0.136,8,9,0.635,0.706,0.5,0.561
NP9903764,117,1,1.0,1.0,0.144,0.144,8,8,0.722,0.721,0.448,0.455
NP9903770,97,4,0.732,0.722,0.687,0.655,5,6,0.185,0.375,0.49,0.461
NP9903771,50,2,0.72,0.72,0.403,0.371,5,5,0.303,0.28,0.302,0.172
NP9903772,50,15,0.26,0.22,0.61,0.7,12,17,0.692,0.849,0.501,0.885
NP9903774,4,9,0.5,0.0,0.696,0.693,4,6,0.538,0.375,0.976,1.0
NP9903775,70,10,0.743,0.729,0.294,0.187,5,6,0.389,0.509,0.282,0.287
NP9903776,123,3,0.699,0.683,0.207,0.292,23,24,1.304,1.331,1.0,1.0
NP9903777,137,16,0.854,0.766,0.103,0.115,12,14,0.832,1.059,0.298,0.461
NP9903781,126,0,1.0,1.0,0.091,0.091,6,6,0.392,0.392,0.502,0.502
NP9903783,100,0,1.0,1.0,0.112,0.112,7,7,0.682,0.682,0.638,0.638
np0008812,2,0,1.0,1.0,0.0,0.0,2,2,0.333,0.333,1.0,1.0
